user,text
@ANDRO1711,"Iván Duque, sobre las elecciones en Colombia: ""Si pudiera presentarme, estaría en la pelea y sería reelecto” - BBC News Mundo (Sus palabras muestran a un cínico o a un desinformado total, sobre el acontecer de Colombia)"
@ElizbethCristi7,Falta 8 días para que Marbella se vaya de colombia Yupi Falta que Uribe diga lo mismo
@PactoCol,“Con @petrogustavo y @FranciaMarquezM podemos comenzar una era de paz en Colombia ¡El cambio en primera!” @Margaritarosadf #ColombiaEsMujer
@DCoronell,"Hay que ser muy vanidoso para pensar así: Iván Duque sobre las elecciones en Colombia: ""Si pudiera presentarme, estaría en la pelea y sería reelecto"" - BBC News Mundo"
@ingrodolfohdez,"Mi campaña significa la unión de Colombia para acabar con la corrupción y poder salir adelante. Quien tenga esta meta y quiera sumarse apoyando, siempre será bienvenido. #RodolfoPresidente #RodolfoHernandez #Elecciones2022 #LigaAnticorrupcion"
@OrlenysOV,Preparando cobertura internacional conjunta de las elecciones en Colombia el próximo domingo...
@ElQueLosDELATA,"¡Vamos, ayúdenme a subir este ht para que el capítulo de hoy llegue a millones en Colombia y en todo el mundo! #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2 #AliasFicoParte2"
@soyhugoarmando,“Ni todos los fusiles juntos podrían cambiar la historia de Colombia como lo podría cambiar un esfero”: Gustavo Petro
@fdbedout,"“Si me lanzo a la presidencia de Colombia, la gano con el 70% de los votos” Nicolás Maduro, 29 de diciembre 2016. “Si pudiera presentarme, estaría en la pelea y sería reelecto” @IvanDuque , 22 de Mayo 2022. El delirio del poder puede crear efectos y semejanzas desconcertantes."
@bbcmundo,"Iván Duque, sobre las elecciones en Colombia: ""Si pudiera presentarme, estaría en la pelea y sería reelecto”"
@VanessaOrtizz,"Petro debería quedarse en casa, por su seguridad. Colombia está a una semana de cambiar su destino. El uribismo tiene las horas contadas en la Casa de Nariño. Yo celebraré esa derrota"
@jkrincon,"Iván Duque está delirando. Dijo en Turquía que el Clan del Golfo “ya no existe en Colombia”. Ah, bueno, ¿entonces quiénes quemaron camiones, amenazaron gente y tuvieron más de un centenar de municipios confinados? ¿Fantasmas? Somos el país de masacres que nadie comete."
@alejavillegasl,Aquí estamos firmes con el próximo Presidente de Colombia Vamos con toda con el numeral #FedericoEsColombia
@LucasArnau,"Estamos en un momento crucial para Colombia, la democracia está en juego, nuestros derechos y nuestras libertades están en juego, mi voto es por @FicoGutierrez creo en su convicción para salvar a Colombia, para unirla y para protegerla!"
@WomanDelCalao,"Se viene una semana intensa para Colombia, respiren, tomen agüita y traten de mantener la cabeza fría, prendan velitas y pídanle a quien quieran que les de tranquilidad y serenidad. Bonita semana."
@Dylan_colo,SE HIZO SOLD OUT VIVA COLOMBIA VIVA FALCAO Y VIVA LOUIS TOMLINSON HPTAAAAAA
@4F_Mamba,"Ojalá Petro gane las elecciones en Colombia, para que se vayan los millones de colombianos de Venezuela. El sol de Venezuela nace en el Esequibo"
@AlexFlorezH,El uribismo es el cancer de Colombia. Lo extirpamos o nos mata.
@mafafeliz,"Si toda la gente que llenó las plazas de Colombia salen a votar, tendremos a Gustavo Petro como presidente en primera. ¡Pilas! #PetroPresidenteEnPrimeraVuelta"
@carlosecaicedo,"A Iván Duque se le olvida que su desaprobación es la más alta en décadas y que el descontento social llegó al punto de convertirse en un Paro Nacional que duró más de dos meses. No creo que Colombia quiera repetir, mucho menos dptos que ha bloqueado e ignorado como el Magdalena."
@JuanaRe28513202,#MiVotoEsPetroYFrancia. Para volver a sembrar en Colombia
@ConservadorCol_,Muchos venezolanos me advirtieron: Petro hará con Colombia lo mismo que Chávez hizo con Venezuela. Ojo con el voto!
@FVallejoQuotes,Colombia es mi madre y es una mala madre; Colombia es una mala patria ha sido siempre así desde que nació de España. Una mala hija nacida de una mala madre que nos heredó la iglesia católica. Nos heredó los curas y los tinterillos; un país burócrata y miserable.
@LuisCarlos,"El mercado de automóviles pudiese ser muchísimo más variado, barato y actual abriendo importaciones de Colombia o Brasil. No les ha dado la gana. Como eso, otros rubros."
@Jaco13W,"“Es que en Colombia quieren todo regalado”. —Colombiano en NY, aplica a subsidios para inmigrantes y va a los Salvation Army (donaciones de ropa para personas sin techo) pero ajúa!!!"
@Simonovis,"1. General Eduardo Zapateiro, @COMANDANTE_EJC de Colombia planeó y lideró las operaciones Fénix, Elipse y Jaque para la neutralización de terroristas, guerrilleros y rescate de rehenes. 2. @vladimirpadrino , lidera eficiente estructura narcotráfico y de saqueo-secuestro de Vzla."
@independienteco,Para defender la democracia en Colombia tuvimos que salir del país. Hoy estamos en Washington ante la CIDH para seguir en esta lucha.#DanielSeQueda. #SOSColombia.
@AUGUSTOOCAMPO,Excelente que @petrogustavo haya llenado todas las plazas en campaña sin duda eso permite ser optimistas... Ahora sigue llenar pero las urnas el próximo 29. Todo indica que en ocho días a esta hora Petro será en primera vuelta el presidente de Colombia...
@PdteVitalicio,En una semana a esta hora Federico Gutiérrez ya será Presidente de Colombia!
@Wilson_Suaza_,"Petro llorando por Colombia, fue demasiado... Dale RT que esas lágrimas se reflejen en las urnas el próximo 29 de mayo. DALE RT"
@ElizbethCristi7,"La diferencia más grande de Petro con los otros candidatos, es que @petrogustavo nunca ha sido corrupto, jamás ha robado a colombia"
@JIRAVA60,"Soy un colombiano más en el exterior (Chicago) hace 21 años, saque a mis tres hijos adelante y hoy todos queremos que @petrogustavo y @FranciaMarquezM sean nuestros presidente y vicepresidenta de nuestra amada Colombia. Quienes más con nosotros?"
@andrearoae,"Rodolfo dice que va a acabar con la robadera y la corrupción en Colombia, mi pregunta es, ¿Por qué cuando fue alcalde no la acabó en Bucaramanga?"
@E_Mendoza_M,Falta Poco... Resistencia Gustavo Petro Urrego Presidente de Colombia.
@Veronicalcocerg,"¡¡El potencial de Colombia es brutal!! Cuánto tenemos que desconocemos… Es nuestro deber impulsar y promocionar el tabaco artesanal de Piedecuesta, que lleva más de 240 años de tradición y de ello subsisten miles de familias #YoSoyTuAmiga #Santander"
@ColDesconocida,"Caño Cristales, La Macarena, Meta, Colombia. : @mariocarvajal"
@SoyAntiuribista,Esta foto define la libertad de expresión en Colombia.
@fervaci,Emocionante ver el compromiso por estas elecciones. Vamos Colombia!!! #elcambioesenprimera #MiVotoEsSecretosky Consulado de Colombia en #Montreal
@LuisGuillermoVl,"María Ángela Holguín, la mujer de @sergio_fajardo , dijo en @lafm que después de pasar 8 años en el gobierno de Santos se dio cuenta de que Colombia necesita un presidente honesto. Lo dijo completamente sería, no era broma ni sarcasmo."
@MichelCaballero,"Así se hace campaña en Colombia; ejemplo de ""elecciones justas, libres y creíbles"""
@NivakyoP,"Ven como está dando su discurso #Petro en este momento, detrás de un escudo. Este 29 de Mayo nace una nueva Colombia."
@estoescambio,"""La petrofobia sirve para ocultar los verdaderos miedos que tiene nuestra clase dirigente. Y su temor más grande es que con Petro vengan reformas. Le temen a los cambios estructurales porque saben que luego viene el desmonte de sus privilegios"": @MJDuzan ."
@cesarusa5,"#ElReporteCoronell La historia secreta de la salida de Nicaragua del embajador de Colombia. Aunque sin embajada cada mes puntualmente Alfredo Rangel recibe los 14 mil 100 dólares mensuales de salario, unos 57 millones de pesos al cambio de hoy. @DCoronell https://wradio.com.co/2022/05/23/la-historia-secreta-de-la-salida-de-nicaragua-del-embajador-de-colombia/…"
@Enrique_GomezM,"No le crean nada al candidato de las bolsas, tiene que bajarle al traguito y sobre todo respetar a los colombianos, ya la gente no le cree sus mentiras. Tenemos que salvar a Colombia del socialismo."
@MONYRODRIGUEZOF,"“Aunque sin embajada cada mes puntualmente Alfredo Rangel recibe los 14 mil 100 dólares mensuales de salario, unos 57 millones de pesos al cambio de hoy.” (Y mientras tanto la gente de ⁦ @IvanDuque ⁩ que se hospedó en hoteles de Mompox no han pagado)."
@IvonneMilenaGo,"Lo de la Plaza Bolivar con Petro, es un acto sin precedentes... Es la prueba inequívoca de que Colombia pide a gritos el CAMBIO."
@mteijeiro,"Colombia, el único país donde darían un golpe de Estado a un candidato, que podría ser Predidente."
@ElQueLosDELATA,"Aclaro: @petrogustavo es el líder que llevará a Colombia a la paz y a la equidad social, estoy edificado en su discurso y tengo grandes amigos entre sus copartidiarios pero no soy ni de la Colombia Humana ni del Pacto, soy un mero difusor idelogico y escritor, no un político."
@andresmelocou,"Fico cerró su campaña en la Medellín que unió y construyó. Petro, en la Bogotá que él mismo abusó.y destruyó. Ese solo ejemplo nos debe mostrar con claridad quién es el mejor para Colombia. #FedericoEsColombia"
@elantizurda,"#ATENCION #Colombia bajo amenaza, el candidato @petrogustavo y militantes de su campaña instan a un estallido social sí él no es el ganador de las próximas elecciones presidenciales, #NoticiaEnDesarrollo Colombia a las puertas de una toma guerrillera urbana sin presedentes"
@jorgerojas2022,"Lo que está en peligro en Colombia, ademas de la vida, es la democracia. Prefieren una dictadura que un gobierno alternativo. Hay alerta en la comunidad internacional. #SOSColombia"
@CARLOSFMEJIA,Hace 70 días 300.000 jurados votaron doble y más de UN MILLÓN de votos aparecieron en escrutinio y no ha pasado nada. Señores: @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Colombia no puede ir a primera vuelta sin que se resuelva esto. #ExigimosEleccionesTransparentes
@Viviana95773190,#UnTramposoEs quien pregona que será el cambio para Colombia y no se lo cree el mismo...
@CristoBustos,"Los amigos y socios del gobierno lo que plantean es un auto fraude” Colombia es el único país del mundo en el que el gobierno,su partido y su coalición se dedican a deslegitimar las elecciones y sacar al árbitro que ellos mismos impusieron. Muy desesperados!"
@IvonneMilenaGo,"El discurso de Petro en la Plaza Bolivar, es el arte en palabras. Colombia, recobrará la ESPERANZA."
@MedImparable,"#SOSColombia en esta dictadura llamada Colombia, nos toca ir a buscar la democracia al exterior. #DanielSeQueda"
@cancinodiegoa,En Colombia solo hay un candidato que se compromete con el desmonte del ESMAD. Se llama @petrogustavo y voy a votar por él y @FranciaMarquezM .
@lfperea768,"Colombia, ha llegado tu LIBERTAD! Petro mi presidente; nuestro presidente!"
@FicoGutierrez,"Trabajar por 12 millones de campesinos en Colombia, es trabajar por todas las familias Colombianas. Acabar con él hambre y la pobreza es prioritario. Agro Social es la solución. Inversión histórica para el campo. Nuestra apuesta es por la Revolución del Campo."
@ernestoyamhure,Colombia está a punto de perder su libertad
@Rubychagui,La verdadera encuesta es el 29 de mayo. Ese día vamos a demostrar que COLOMBIA está PRIMERO. #FedericoEsColombia
@J_Upegui,Todos estamos de acuerdo en que Colombia necesita un cambio. #MiVotoEsPetroYFrancia
@orcarmonab,Paisas Antioqueños Medellinenses ojo al dato voten temprano y despues se van de puente para sus fincas y para Guatape' a festejar pero voten uds pongan 7 millones de votos q los otros 5 los pone el resto de Colombia y ganamos en primera vuelta #FicoPresidente
@Enrique_GomezM,Me siento profundamente agradecido por su respaldo y agradezco la posibilidad de poder recobrar la esperanza. Entre todos salvaremos a Colombia.
@ALFREDOSAADEV,"En el chat de alcaldes del caribe dijeron ""fico no despega la orden del jefe ahora es rodolfo"" Arrodillados a la corrupción, no les interesa el país, solo sus vísceras. Levántate colombia #PetroPresidenteEnPrimeraVuelta"
@Florcad16,"#MiVotoEsPetroYFrancia porque practicar un deporte o el arte y la cultura no sea un privilegio, debe ser un derecho para todos los niños y jóvenes de Colombia #PetroPresidenteEnPrimeraVuelta"
@marianagoyenec2,"Hombre exalcalde nada más mentiroso de su parte, UD fue suspendido por participar en política a favor del hampon del kk's, UD pensó que la procuraduría no le haría nada y se equivocó, todos en Colombia somos testigos de su participación activa en política y lo pillaron, chao!!!"
@FranciaMarquezM,Gracias por asumir el momento histórico y sumarte a esta gran juntanza por el #VivirSabroso en Colombia. Vamos por #ElCambioEnPrimera
@AlexFlorezH,"Absoluta incertidumbre en Colombia de cuenta del gobierno a solo 6 días de elecciones. Amenaza de aplazar votaciones y suspender al registrador, un general amenaza con golpe militar al atacar a un candidato, suspenden a @QuinteroCalle un alcalde opositor. Alertas #SOSColombia"
@fromequator,#Colombia están a tiempo
@PizarroMariaJo,"Que el mundo se entere cómo hay que hacer campaña en Colombia. @petrogustavo @FranciaMarquezM en medio de escudos en plaza pública. A pesar de todo, aquí estamos luchando por el cambio!"
@Rodrigo_LaraS,"Fueron dos meses de plaza pública, de recorrer las calles, de sentir la emoción y el compromiso de la gente. ¡Gracias Medellín! ¡Gracias Colombia! A una semana de celebrar la victoria. Vamos a unir a Colombia y cambiar su historia de corrupción. #LaraUneNoDivide"
@gxldenlouis_,No sé pero estoy emocionada por los conciertos de Louis en Colombia y Perú
@cafetalera0252,"Miren está belleza , un cierre de campaña triunfal del futuro presidente de colombia, en Medellín @FicoGutierrez #FicoEsColombia Felicidades Colombia que viva la democracia !"
@coherenciaporf,"Pues si Iván Duque se volviera a lanzar, ahora tendría muchas mas razones para volver a votar por el! Siempre lo he dicho, la historia se encargará de reconocerle todo lo bueno que hizo por Colombia. PD: Opinion no sujeta a debate alguno no se desgasten."
@DCoronell,#ElReporteCoronell La historia secreta de la salida de Nicaragua del embajador de Colombia. En primicia el documento que ocasionó la cancelación de las credenciales del embajador Alfredo Rangel.
@VivancoJM,"El cierre de campaña de @FranciaMarquezM , casi invisible por el blindaje de los escudos, demuestra lo que ha retrocedido Colombia en seguridad y no es normal en una democracia del siglo XXI."
@ColombianoInd20,Gustavo Petro va ser el próximo presidente de Colombia. Porque el es un patriota y defiende los derechos de los colombianos. #PetroPresidente
@Carlos_va03,"Colombianos, el cambio es ahora y en primera vuelta, no más asesinatos de mujeres embarazadas y menores de edad, por bombardear a la población civil indefensa, no más desaparición forzada, Si a la vida, ¡¡Gustavo Petro presidente de Colombia en primera vuelta, Francia vicep !!."
@VladoBecerra,"Estamos cuadrando para este domingo la sala, el tv, las palomitas, el almuerzo y las copas para ver los resultados electorales, muy al estilo final de champions, no había sentido tanta emoción desde que Colombia volvió al mundial @petrogustavo PRESIDENTE."
@manuelhborbolla,Así el cierre de campaña de Gustavo Petro en Colombia. Esa gran nación merece un cambio de rumbo tras todo el dolor que han padecido los colombianos durante la oscura época del uribismo.
@Majoo2098,Por todas las iglesias en Colombia. #CreyentesConFico #FicoEsLibertad #SantandereanosConFICO #FicoPresidente2022 #FicoPresidente @FicoGurierrez
@carprensa,Cristianos progresistas crecen y crecen en toda Colombia @ALFREDOSAADEV
@willj84753699,"¡ATENCIÓN COLOMBIA! #MiVotoEsPetroYFrancia ¡Apoteósico! Cierre de campaña de Gustavo Petro en la tierra que lo vio crecer, Zipaquirá. Ahora vamos a la Plaza de Bolívar"
@cmartinleyesd,"Les hago una pregunta: ¿Al ir al médico, no buscan siempre el mejor en su especialidad? ¿Porqué elegimos a los menos preparados para manejar el país? Para su consideración la hoja de vida del candidato más preparado para ser Presidente de Colombia. #FajardoMurilloPresidente"
@PSierraR,"Ante el descenso del #Watford y lo que dejó ver en la temporada, Juan Camilo ‘Cucho’ Hernández (23) ha sido contactado por varios clubes para saber sus condiciones El delantero (bloqueado para Selección Colombia ) ve con buenos ojos unas transferencia en verano"
@OrlenysOV,Cierre de campaña de un pueblo que ya no quiere más masacres ni narcogobiernos en #Colombia .
@MissPoirot07,"En Colombia pensar diferente es sinónimo de muerte y persecución política lo mejor hoy para @QuinteroCalle en la @CIDH y ojalá pongan los ojos en nuestro país, este gobierno criminal se aferra al poder a toda costa. Pero no pasarán. #SOSColombia"
@musictrendscol,LES DIJIMOS LUNES DE ANUNCIOS @calamarooficial se va de gira por Colombia Aquí todas las fechas
@EsConFajardo,"Impresionante el trabajo de nuestro equipo de voluntarios por toda Colombia. Nosotros no cerramos campaña, abrimos puertas. En una semana estaremos celebrando el paso de @sergio_fajardo a la segunda vuelta. #SúbeteALaChivaFajardista"
@juancaortegas,"La persecución política en #Colombia es evidente cuando el mismo gobierno rompe la democracia en pedazos, por eso @QuinteroCalle debe encontrar ayuda en #EEUU para que frenen esta dictadura. #SOSColombia"
@Maria06_23,#MiVotoEsPetroYFrancia Petro es el que necesita Colombia.
@Rodrigolarasanc,"89% de Medellín es Equipo por Colombia, vamos por más."
@gener_usuga,"Buenos días Colombia, les cuento algo muy positivo en importante: En el exterior ya estamos votando por @petrogustavo y @FranciaMarquezM . Vamos a ganar en primera, y Vamos a vivir sabroso."
@coach_marcela,"Esta semana Colombia se dio cuenta que puede decir: Chao Fico y Chao Petro! Pero el país necesita ir más allá de eso... Entonces, por qué conformarnos con poco SI LO PODEMOS TENER TODO? @sergio_fajardo presidente! #ColombiaCuentaConMiVotoPorSergioFajardo"
@viviana_tes,"Cuando les digan que los liberales no pueden ser fascistas recuerden que los verdes en Colombia están a punto de votar por un tipo que tiene posturas abiertamente autoritarias, machistas, xenofobas y antiinstiucionales, sólo por la ilusión de ""proteger"" el libre mercado."
@HerlyGonzlez1,Colombia entera unida gracias a un gran ser humano y dirigente #FedericoEsColombia
@omarbula,. @IvanDuque ¿Y usted - piensa vender nuestra soberanía? #Colombia
@ojodeaguila81,"Bueno, empezaron las elecciones, Dios bendiga a Colombia e ilumine a los colombianos para que voten bien, con sentido de responsabilidad y Patria, dejen el odio y voten por Colombia"
@KevinMaOficial,"Dice el inúti de Iván Duque @IvanDuque , sobre las elecciones en Colombia que ""Si pudiera presentarme.. .sería reelecto”. Le recuerdo, que ya no tiene de amigos narcotraficantes, al Ñeñe Hernández, que le puedan comprar la presidencia. Payaso #MiVotoEsPetroYFrancia."
@siercar,"Hoy a 7 días de que @FicoGutierrez gane en 1ra vuelta se me llena el corazón de nostalgia por lo que anhelamos todos los que queremos que colombia siga por el camino de la #Democracia No saltos al vacío, no a la Izquierda."
@nesper4254,"US 14.100 dolaretes mensuales, por no hacer nada Si sr Por no hacer nada Bueno si, defender al hacendado y su people La historia secreta de la salida de Nicaragua del embajador de Colombia https://wradio.com.co/2022/05/23/la-historia-secreta-de-la-salida-de-nicaragua-del-embajador-de-colombia/… vía @WradioColombia"
@J_Upegui,Impresionante la Plaza de Bolívar apoyando a @petrogustavo . Se abre paso un cambio por la dignidad y la vida en toda Colombia.
@DocMaca2,"Urgente, soy reportera @Noti_Space nueva jugada la activista estadounidense @hey_ter fue detenida y le quitaron su pasaporte para no entrar a Colombia @Uriasv ,nos quieres quitar el apoyo internacional. #SOSColombia"
@zenxess,La manifestación de Medellín es producto de su altísima dignidad y de la gestión de Petro a través de @QuinteroCalle ; Gracias a ellos Medellín despertó y con ella todo Colombia @FicoGutierrez @AndresElGury #NosUnimosONosJodemos #FedericoEsColombia #FicoEsColombia
@Don_Patriota1,El único narcodictador en potencia en Colombia... se llama Gustavo Petro. #FedericoEsColombia
@LMRocketPLTR,#ATENCION Colombia debe ver esto…..favor difundir
@EdwinBeLo93,"Emociona aportar el inicio de la nueva Colombia, potencia mundial de la vida. #Secretosky #PetroYFranciaSonElCambio @petrogustavo @FranciaMarquezM vamos que vamos"
@ALFREDOSAADEV,Levántate colombia y seremos una tierra feliz. #PetroPresidenteEnPrimeraVuelta @petrogustavo
@JuanaMariaRod,Felices apoyando! Que viva Fajardo! Que viva Colombia. #SubeteALaChivaFajardista
@MajoDoriaT,Empezaron las votaciones presidenciales desde el exterior. Quiero invitarte a que ayudemos a cambiar a Colombia para que las nuevas generaciones no tengan que migrar por necesidad y para que nuestra gente obtenga justicia social.
@DannaHer321,Todas las mujeres tienen el potencial de lograr que nuestra bella Colombia crezca en un ambiente de amor e igualdad. Todas con Fico. #FedericoEsColombia #PetroAgitador #SantandereanosConFico @FicoGutierrez
@AidaAvellaE,Petro Presidente! Francia Vicepresidenta! Este 29 de mayo cambia Colombia.
@Omar_Comunes,"Que @FranciaMarquezM se vea obligada a salir de la plaza pública, por riesgo o sabotaje, y que @petrogustavo siempre tenga que estar rodeado de escoltas con escudos blindados, da cuenta de la debilidad de la democracia en Colombia. El pueblo será el único garante. #MeInquieta"
